201501011630, 1, 101, 3, Ivan
201501011630, 2, 1010, 3, Ivan
201501011630, 3, 1005, 3, Ivan
201501011630, 4, 1105, 3, Ivan
201501011630, 5, 1015, 3, Ivan
201501011630, 6, 10105, 3, Ivan
201501011630, 1, 205, 1, Stoyan
201501011630, 2, 1055.101212, 1, Stoyan
201501011630, 3, 10.12, 1, Stoyan
201501011630, 4, 105.1, 1, Stoyan
201501011630, 5, 1015, 1, Stoyan
201501011630, 6, 1105, 1, Stoyan
201501011630, 1, 10105, 2, Dragan
201501011630, 2, 1105, 2, Dragan
201501011630, 3, 10105, 2, Dragan
201501011630, 4, 1015, 2, Dragan
201501011630, 5, 100, 2, Dragan
201501011630, 6, 1005, 2, Dragan
